estado,fecha,hosp_gral,cama_venti,venti_uci
Tlaxcala,04/06/2021,5.76,10.28,0
Veracruz de Ignacio de la Llave,04/06/2021,12.91,7.18,13.59
Yucatán,04/06/2021,15.98,30.45,73.91
Zacatecas,04/06/2021,12.82,6.01,22.22
Aguascalientes,05/06/2021,11.83,10.69,24.52
Baja California,05/06/2021,12.73,15.82,11.62
Baja California Sur,05/06/2021,31.31,22.34,0
Campeche,05/06/2021,5.85,9.9,18.18
Chiapas,05/06/2021,3.87,3.76,9.52
Chihuahua,05/06/2021,12.34,14.06,13.41
Ciudad de México,05/06/2021,12.59,9.29,8.5
Coahuila de Zaragoza,05/06/2021,11.9,9.48,66.66
Colima,05/06/2021,14.63,23.07,0
Durango,05/06/2021,26.19,9.27,20
Guanajuato,05/06/2021,4.12,1.58,5.55
Guerrero,05/06/2021,8.13,7.54,7.89
Hidalgo,05/06/2021,14.03,5.69,0
Jalisco,05/06/2021,11.55,9.01,11.68
México,05/06/2021,7.89,9.5,18.75
Michoacán de Ocampo,05/06/2021,9.47,5.49,0
Morelos,05/06/2021,11.38,8.14,26.42
Nayarit,05/06/2021,23.27,16,0
Nuevo León,05/06/2021,24.5,20.24,30.15
Oaxaca,05/06/2021,12.73,5.17,14
Puebla,05/06/2021,11,12.29,19.27
Querétaro,05/06/2021,6.48,5.76,45.45
Quintana Roo,05/06/2021,32.84,18.72,44
San Luis Potosí,05/06/2021,3.79,3.73,10.76
Sinaloa,05/06/2021,14.19,12.9,20.54
Sonora,05/06/2021,18.3,14.37,22.22
Tabasco,05/06/2021,29.68,31.62,34.88
Tamaulipas,05/06/2021,21.53,19.82,38.35
Tlaxcala,05/06/2021,6.32,7.54,0
Veracruz de Ignacio de la Llave,05/06/2021,13.63,7.73,16.51
Yucatán,05/06/2021,16.36,34.88,76
Zacatecas,05/06/2021,6.83,6.76,27.77
Aguascalientes,06/06/2021,11.56,9.31,24.52
Baja California,06/06/2021,15.19,17.77,10.41
Baja California Sur,06/06/2021,33.91,23.07,0
Campeche,06/06/2021,5.05,10.81,15.62
Chiapas,06/06/2021,3.89,4.08,7.93
Chihuahua,06/06/2021,13.3,13.82,14.1
Ciudad de México,06/06/2021,12.33,8.88,8.98
Coahuila de Zaragoza,06/06/2021,12.06,11.3,100
Colima,06/06/2021,8.13,17.39,0
Durango,06/06/2021,25.88,8.24,19.64
Guanajuato,06/06/2021,4.21,1.2,5.35
Guerrero,06/06/2021,10.52,8.58,7.89
Hidalgo,06/06/2021,15.2,6.91,0
Jalisco,06/06/2021,11.32,8.61,13.21
México,06/06/2021,8.54,9.01,12.5
Michoacán de Ocampo,06/06/2021,8.2,3.22,0
Morelos,06/06/2021,11.7,7.89,26.42
Nayarit,06/06/2021,24.13,14.66,0
Nuevo León,06/06/2021,24.22,22.06,32.92
Oaxaca,06/06/2021,13.76,10.69,23.43
Puebla,06/06/2021,12.48,11.47,19.27
Querétaro,06/06/2021,6.46,6.51,50
Quintana Roo,06/06/2021,32.55,17.13,33.33
San Luis Potosí,06/06/2021,3.42,4.95,11.11
Sinaloa,06/06/2021,15.25,13.33,22.22
Sonora,06/06/2021,15.85,13.63,22.5
Tabasco,06/06/2021,27.55,24.58,36.66
Tamaulipas,06/06/2021,19.34,17.24,31.25
Tlaxcala,06/06/2021,5.69,9.34,0
Veracruz de Ignacio de la Llave,06/06/2021,16.1,6.7,15.78
Yucatán,06/06/2021,16.83,32.78,73.91
Zacatecas,06/06/2021,10.74,5.18,25
Aguascalientes,07/06/2021,12.13,9.43,24.52
Baja California,07/06/2021,16.66,15.87,14.28
Baja California Sur,07/06/2021,32.02,22.09,0
Campeche,07/06/2021,5.85,9.25,12.5
Chiapas,07/06/2021,3.65,4.71,9.52
Chihuahua,07/06/2021,15.65,11.65,13.33
Ciudad de México,07/06/2021,14.46,11.22,11.52
Coahuila de Zaragoza,07/06/2021,12.13,9.83,50
Colima,07/06/2021,15.45,15.71,5.55
Durango,07/06/2021,25,8.69,19.64
Guanajuato,07/06/2021,4.03,1.18,5.35
Guerrero,07/06/2021,11.01,8.49,7.77
Hidalgo,07/06/2021,14.47,6.17,0
Jalisco,07/06/2021,12.81,7.35,12.2
México,07/06/2021,8.34,9.27,12.5
Michoacán de Ocampo,07/06/2021,8.42,4.83,0
Morelos,07/06/2021,10.75,8.3,25
Nayarit,07/06/2021,19.81,15,0
Nuevo León,07/06/2021,23.3,19.62,32.53
Oaxaca,07/06/2021,16.66,9.2,21.21
Puebla,07/06/2021,13.77,11.4,19.76
Querétaro,07/06/2021,6.91,6.64,50
Quintana Roo,07/06/2021,34.57,16.46,34.78
San Luis Potosí,07/06/2021,3.79,4.06,7.4
Sinaloa,07/06/2021,14.87,13.91,26.41
Sonora,07/06/2021,14.72,12.07,20.4
Tabasco,07/06/2021,25.7,32.24,33.33
Tamaulipas,07/06/2021,21.29,17.69,30.76
Tlaxcala,07/06/2021,6.04,8.49,0
Veracruz de Ignacio de la Llave,07/06/2021,14.28,9.09,17.27
Yucatán,07/06/2021,17.44,37.72,76.92
Zacatecas,07/06/2021,7.69,6.1,33.33
Aguascalientes,08/06/2021,13.21,10.62,20.75
Baja California,08/06/2021,13.07,21.1,10
Baja California Sur,08/06/2021,33.9,24.59,0
Campeche,08/06/2021,6.68,9.17,12.5
Chiapas,08/06/2021,4.22,5.42,7.93
Chihuahua,08/06/2021,15.85,13.79,17.74
Ciudad de México,08/06/2021,15.2,11.13,12.55
Coahuila de Zaragoza,08/06/2021,10,7.43,37.5
Colima,08/06/2021,17.64,16.66,5.55
Durango,08/06/2021,22.22,10.84,16.66
Guanajuato,08/06/2021,4.79,1.46,6.25
Guerrero,08/06/2021,11.67,8.55,10
Hidalgo,08/06/2021,16.71,5.06,0
Jalisco,08/06/2021,12.41,6.29,11.79
México,08/06/2021,8.59,10.37,12.5
Michoacán de Ocampo,08/06/2021,7.76,4.87,0
Morelos,08/06/2021,10.62,7.51,23.02
Nayarit,08/06/2021,23.36,16.66,0
Nuevo León,08/06/2021,17.53,13.98,21.28
Oaxaca,08/06/2021,13.16,7.5,14.06
Puebla,08/06/2021,10.64,10.22,16.66
Querétaro,08/06/2021,6.18,6.56,50
Quintana Roo,08/06/2021,35.73,17.07,33.82
San Luis Potosí,08/06/2021,5.39,3.6,5.55
Sinaloa,08/06/2021,17.11,14,25.67
Sonora,08/06/2021,19.55,15.02,28.57
Tabasco,08/06/2021,21.21,35.4,36.66
Tamaulipas,08/06/2021,22.79,16.07,26.5
Tlaxcala,08/06/2021,4.82,7.27,0
Veracruz de Ignacio de la Llave,08/06/2021,15.84,9.55,16.66
Yucatán,08/06/2021,19.43,41.5,77.77
Zacatecas,08/06/2021,8.19,5.97,30
Aguascalientes,09/06/2021,12.06,9.93,19.23
Baja California,09/06/2021,15.86,15.77,11.62
Baja California Sur,09/06/2021,34.13,28.04,0
Campeche,09/06/2021,7.79,10.81,15.15
Chiapas,09/06/2021,3.89,6.44,7.93
Chihuahua,09/06/2021,15.19,10.05,11.11
Ciudad de México,09/06/2021,17.24,11.72,13.36
Coahuila de Zaragoza,09/06/2021,10.57,5.97,12
Colima,09/06/2021,17.94,17.8,5.55
Durango,09/06/2021,30.23,10,23.4
Guanajuato,09/06/2021,4.15,1.5,7.27
Guerrero,09/06/2021,11.22,8.07,7.77
Hidalgo,09/06/2021,15.1,6.12,9.09
Jalisco,09/06/2021,12.18,7.09,12.62
México,09/06/2021,8.28,11.02,12.5
Michoacán de Ocampo,09/06/2021,7.31,4,0
Morelos,09/06/2021,10.7,8.01,25.71
Nayarit,09/06/2021,18.26,15.58,0
Nuevo León,09/06/2021,25.16,20.26,36.52
Oaxaca,09/06/2021,16.66,6.49,12.9
Puebla,09/06/2021,10.89,9.67,12.65
Querétaro,09/06/2021,4.53,6.61,50
Quintana Roo,09/06/2021,34.97,19.1,32.83
San Luis Potosí,09/06/2021,3.23,4.02,7.27
Sinaloa,09/06/2021,16.58,14.16,27.53
Sonora,09/06/2021,19.57,12.29,27.27
Tabasco,09/06/2021,25.62,35.6,33.76
Tamaulipas,09/06/2021,28.31,15.56,26.5
Tlaxcala,09/06/2021,5.29,7.54,0
Veracruz de Ignacio de la Llave,09/06/2021,17.72,8.21,17.75
Yucatán,09/06/2021,18.95,44.78,75
Zacatecas,09/06/2021,4.95,6.66,30
Aguascalientes,10/06/2021,13.48,8.91,19.23
Baja California,10/06/2021,13.2,15.8,4.65
Baja California Sur,10/06/2021,36.47,28.49,0
Campeche,10/06/2021,6.82,7.4,12.5
Chiapas,10/06/2021,3.87,6.41,7.93
Chihuahua,10/06/2021,14.31,11.82,10
Ciudad de México,10/06/2021,15.52,13.07,12.25
Coahuila de Zaragoza,10/06/2021,11.11,5.83,8
Colima,10/06/2021,13.79,18.91,5.55
Durango,10/06/2021,29.41,8.86,25
Guanajuato,10/06/2021,3.74,1.05,1.78
Guerrero,10/06/2021,9.89,10.24,10
Hidalgo,10/06/2021,12.73,6.57,0
Jalisco,10/06/2021,13.5,6.13,10.84
México,10/06/2021,9.17,10.48,12.5
Michoacán de Ocampo,10/06/2021,6.56,5.26,0
Morelos,10/06/2021,12.71,9.03,27.13
Nayarit,10/06/2021,18.01,14.47,0
Nuevo León,10/06/2021,24.79,19.96,35.86
Oaxaca,10/06/2021,14.97,7.74,15
Puebla,10/06/2021,9.12,9.59,16.21
Querétaro,10/06/2021,4.82,6.56,54.54
Quintana Roo,10/06/2021,35.91,17.28,34.78
San Luis Potosí,10/06/2021,3.49,4.52,12.28
Sinaloa,10/06/2021,18.69,12.59,22.97
Sonora,10/06/2021,20.91,12.9,29.54
Tabasco,10/06/2021,26.19,38.55,37.7
Tamaulipas,10/06/2021,28.11,16.66,29.11
Tlaxcala,10/06/2021,4.02,8.49,100
Veracruz de Ignacio de la Llave,10/06/2021,18.6,8.68,21.97
Yucatán,10/06/2021,20.11,42.5,73.91
Zacatecas,10/06/2021,4.44,6.61,30
Aguascalientes,11/06/2021,13.48,8.91,19.23
Baja California,11/06/2021,13.2,15.8,4.65
Baja California Sur,11/06/2021,36.47,28.49,0
Campeche,11/06/2021,6.82,7.4,12.5
Chiapas,11/06/2021,3.87,6.41,7.93
Chihuahua,11/06/2021,14.31,11.82,10
