"","Estado","fecha","hosp_gral","cama_venti","venti_uci"
"112","Michoacán de Ocampo",2021-06-04,8.4,10.87,18.75
"113","Morelos",2021-06-04,9.06,4.06,0
"114","Nayarit",2021-06-04,20.18,13.58,0
"115","Nuevo León",2021-06-04,21.35,18.33,29.78
"116","Oaxaca",2021-06-04,12.86,11.24,25.75
"117","Puebla",2021-06-04,10.96,11.53,17.5
"118","Querétaro",2021-06-04,5.63,5.81,45.45
"119","Quintana Roo",2021-06-04,30.5,19.66,33.33
"120","San Luis Potosí",2021-06-04,3.97,4.12,7.54
"121","Sinaloa",2021-06-04,16.99,11.58,16.21
"122","Sonora",2021-06-04,17.64,12.28,21.05
"123","Tabasco",2021-06-04,27.36,26.5,32.25
"124","Tamaulipas",2021-06-04,23.82,18.33,40.54
"125","Tlaxcala",2021-06-04,5.76,10.28,0
"126","Veracruz de Ignacio de La Llave",2021-06-04,12.91,7.18,13.59
"127","Yucatán",2021-06-04,15.98,30.45,73.91
"128","Zacatecas",2021-06-04,12.82,6.01,22.22
"129","Aguascalientes",2021-06-05,11.83,10.69,24.52
"130","Baja California",2021-06-05,12.73,15.82,11.62
"131","Baja California Sur",2021-06-05,31.31,22.34,0
"132","Campeche",2021-06-05,5.85,9.9,18.18
"133","Chiapas",2021-06-05,3.87,3.76,9.52
"134","Chihuahua",2021-06-05,12.34,14.06,13.41
"135","Ciudad de México",2021-06-05,12.59,9.29,8.5
"136","Coahuila de Zaragoza",2021-06-05,11.9,9.48,66.66
"137","Colima",2021-06-05,14.63,23.07,0
"138","Durango",2021-06-05,26.19,9.27,20
"139","Guanajuato",2021-06-05,4.12,1.58,5.55
"140","Guerrero",2021-06-05,8.13,7.54,7.89
"141","Hidalgo",2021-06-05,14.03,5.69,0
"142","Jalisco",2021-06-05,11.55,9.01,11.68
"143","México",2021-06-05,7.89,9.5,18.75
"144","Michoacán de Ocampo",2021-06-05,9.47,5.49,0
"145","Morelos",2021-06-05,11.38,8.14,26.42
"146","Nayarit",2021-06-05,23.27,16,0
"147","Nuevo León",2021-06-05,24.5,20.24,30.15
"148","Oaxaca",2021-06-05,12.73,5.17,14
"149","Puebla",2021-06-05,11,12.29,19.27
"150","Querétaro",2021-06-05,6.48,5.76,45.45
"151","Quintana Roo",2021-06-05,32.84,18.72,44
"152","San Luis Potosí",2021-06-05,3.79,3.73,10.76
"153","Sinaloa",2021-06-05,14.19,12.9,20.54
"154","Sonora",2021-06-05,18.3,14.37,22.22
"155","Tabasco",2021-06-05,29.68,31.62,34.88
"156","Tamaulipas",2021-06-05,21.53,19.82,38.35
